Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
0,1,n,-0.1149,27,0, ,1/2+, ,613.9,6,s,613.9,0.6,B-,100, , , , , , , , ,-1.9130427, , , ,782.347,0,,,,,,,0.0,0,,,0,0,1008664.91582,49,8071.31713,46,
1,0,H,0.8783,86,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,2.792847351, , , ,,,,,,,-782.347,0,,,0.0,0,0,0,1007825.03224,9,7288.97061,9,
1,2,H,1.7591,363,0, ,1/2+, ,12.32,2,Y,388781330,631140,B-,100, , , , , , , , ,2.978962467, , , ,18.592,0,,,,,,,6257.23,0,,,2827.265,0,3016049.28199,23,14949.80993,22,
1,4,H,,,0, , , , , , , , ,N,100, , , , , , , , , , , , ,21661.211,91652,22396.21,89,,,,,-200.00,134,,,1336.359,17889,5035311.493,96020,32892.444,89443,
2,1,He,1.9661,30,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-2.127625306, , , ,-13736,2000,,,,,-18.592,0,,,5493.47,0,2572.68,0,3016029.32265,22,14931.21793,21,
2,3,He,,,0, ,3/2-, ,0.648, ,MeV,7.040705479496693e-22, ,N, , , , , , , , ,1/2, , , , ,-447.654,53852,-22163.27,213,735,20,-21661.211,92,-735.00,20,20678.86,102,5512.132,4000,5012057.224,21470,11231.233,20000,
2,5,He,,,0, ,(3/2)-, ,150,20,keV,3e-21,2.3e-20,N, , , , , , , , ,3/2, , , , ,11166.021,7559,3914.93,8,,,-23061.874,1004,-409.71,8,23091.56,254,4123.057,1080,7027990.654,8115,26073.126,7559,
2,7,He,,,0, ,1/2+, , , , , , ,N,100, , , , , , , ,5/2, , , , ,15980.924,46817,11918.70,47,,,,,-1254.83,47,,,3349.037,5202,9043946.419,50259,40935.826,46816,
3,2,Li,,,0, ,3/2-, ,1.23, ,MeV,3.709249716027526e-22, ,P, , , , , , , , ,1/2, , , , ,-25460,2003,,,1965,50,447.653,54,21715.62,218,-1965.00,50,5266.132,10000,5012537.8,53677,11678.886,50000,
3,4,Li,2.4440,420,0, ,3/2-, ,STABLE, , , , , , , , , , , , , ,1/2,3.2564268, ,-0.0406, ,-861.893,71,-11539.24,5,-2467.62,0,-11166.021,8,7251.09,0,9973.96,5,5606.439,1,7016003.43666,454,14907.10529,423,
3,6,Li,2.2450,460,0, ,3/2-, ,178.3,4,ms,0.1783,0.0004,B-,100, ,B-N,50.8,0.2, , , ,3/2,3.4391, ,-0.0274, ,13606.449,201,11941.91,19,-10362.46,89,-15980.924,47,4062.22,19,13943.75,21,5037.768,21,9026790.191,200,24954.902,186,
3,8,Li,2.4820,429,0, ,3/2-, ,8.75,14,ms,0.00875,0.00014,B-,100, ,B-N, , , , , ,5/2,3.6673, , , ,20551.087,659,20049.45,62,-10832,1004,,,395.69,13,15757.86,93,4155.381,56,11043723.581,660,40728.254,615,
4,1,Be,,,0, , , , , , , , ,P,100, , , , , , , , , , , , ,,,,,,,25460.114,2004,,,-4527,2014,18,401,5039870,2150,37139,2003,
4,3,Be,2.6460,160,0, ,3/2-, ,53.22,6,d,4598210,5180,EC,100, , , , , , , ,1/2, , , , ,-11907.551,25150,-39622,2003,-1587.13,7,861.894,71,10677.35,5,5606.85,7,5371.548,10,7016928.717,76,15768.999,71,
